Year;Publication date;Advice product;Ecoregion;Title;PDF location in old library;DOI
2021;17/12/2021;Aquaculture Overviews;Norwegian Sea;Norwegian Sea ecoregion – Aquaculture Overview;https://www.ices.dk/sites/pub/Publication%20Reports/Advice/2021/2021/AquacultureOverview_NorwegianSea_2021.pdf;https://doi.org/10.17895/ices.advice.9585
2019;12/12/2019;Ecosystem overviews;Azores;Azores ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/EcosystemOverview_Azores_2019.pdf;https://doi.org/10.17895/ices.advice.5753
2020;10/12/2020;Ecosystem overviews;Azores;Azores ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/EcosystemOverview_Azores_2020.pdf;https://doi.org/10.17895/ices.advice.7628
2021;09/12/2021;Ecosystem Overviews;Azores;Azores ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/EcosystemOverview_Azores_2021.pdf;https://doi.org/10.17895/ices.advice.9433
2018;14/12/2018;Ecosystem overviews;Baltic Sea;Baltic Sea Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/BalticSeaEcoregion_EcosystemOverview.pdf;https://doi.org/10.17895/ices.pub.4665
2019;12/12/2019;Ecosystem overviews;Baltic Sea;Baltic Sea Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/EcosystemOverview_BalticSea_2019.pdf;https://doi.org/10.17895/ices.advice.5752
2020;10/12/2020;Ecosystem overviews;Baltic Sea;Baltic Sea Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/EcosystemOverview_BalticSea_2020.pdf;https://doi.org/10.17895/ices.advice.7635
2021;09/12/2021;Ecosystem Overviews;Baltic Sea;Baltic Sea Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/EcosystemOverview_BalticSea_2021.pdf;https://doi.org/10.17895/ices.advice.9437
2016;04/03/2016;Ecosystem overviews;Barents Sea;Barents Sea Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/Barents_Sea_Ecoregion-Ecosystem_overview.pdf;https://doi.org/10.17895/ices.advice.4912
2019;12/12/2019;Ecosystem overviews;Barents Sea;Barents Sea Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/EcosystemOverview_BarentsSea_2019.pdf;https://doi.org/10.17895/ices.advice.5747
2021;09/12/2021;Ecosystem Overviews;Barents Sea;Barents Sea Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/EcosystemOverview_BarentsSea_2021.pdf;https://doi.org/10.17895/ices.advice.9438
2018;14/12/2018;Ecosystem overviews;Bay of Biscay and Iberian Coast ;Bay of Biscay and the Iberian Coast Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/BayofBiscayandtheIberianCoastEcoregion_EcosystemOverview.pdf;https://doi.org/10.17895/ices.pub.4666
2019;12/12/2019;Ecosystem overviews;Bay of Biscay and Iberian Coast ;Bay of Biscay and the Iberian Coast Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/EcosystemOverview_BayofBiscayandIberianWaters_2019.pdf;https://doi.org/10.17895/ices.advice.5751
2020;10/12/2020;Ecosystem overviews;Bay of Biscay and Iberian Coast ;Bay of Biscay and the Iberian Coast Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/EcosystemOverview_BayofBiscay_2020.pdf;https://doi.org/10.17895/ices.advice.7636
2021;09/12/2021;Ecosystem Overviews;Bay of Biscay and Iberian Coast ;Bay of Biscay and the Iberian Coast ecoregion – Ecosystem Overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/EcosystemOverview_BayofBiscay_2021.pdf;https://doi.org/10.17895/ices.advice.9436
2016;04/03/2016;Ecosystem overviews;Celtic Seas;Celtic Seas Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/Celtic_Sea_Ecoregion-Ecosystem_overview.pdf;https://doi.org/10.17895/ices.advice.4913
2018;14/12/2018;Ecosystem overviews;Celtic Seas;Celtic Seas Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/CelticSeasEcoregion_EcosystemOverview.pdf;https://doi.org/10.17895/ices.pub.4667
2019;12/12/2019;Ecosystem overviews;Celtic Seas;Celtic Seas Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/EcosystemOverview_CelticSeas_2019.pdf;https://doi.org/10.17895/ices.advice.5749
2020;10/12/2020;Ecosystem overviews;Celtic Seas;Celtic Seas Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/EcosystemOverview_CelticSeas_2020.pdf;https://doi.org/10.17895/ices.advice.7631
2021;09/12/2021;Ecosystem Overviews;Celtic Seas;Celtic Seas ecoregion – Ecosystem Overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/EcosystemOverview_CelticSeas_2021.pdf;https://doi.org/10.17895/ices.advice.9432
2021;09/12/2021;Ecosystem Overviews;Central Arctic;Central Arctic Ocean ecoregion – Ecosystem Overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/EcosystemOverview_CentralArtcic_2021.pdf;https://doi.org/10.17895/ices.advice.9420
2016;04/03/2016;Ecosystem overviews;Greater North Sea;Greater North Sea Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2016/2016/Greater_North_Sea_Ecoregion-Ecosystem_overview.pdf;https://doi.org/10.17895/ices.advice.5702
2018;14/12/2018;Ecosystem overviews;Greater North Sea;Greater North Sea Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/GreaterNorthSeaEcoregion_EcosystemOverview.pdf;https://doi.org/10.17895/ices.pub.4670
2019;12/12/2019;Ecosystem overviews;Greater North Sea;Greater North Sea Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/EcosystemOverview_GreaterNorthSea_2019.pdf;https://doi.org/10.17895/ices.advice.5750
2020;10/12/2020;Ecosystem overviews;Greater North Sea;Greater North Sea Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/EcosystemOverview_GreaterNorthSea_2020.pdf;https://doi.org/10.17895/ices.advice.7632
2021;09/12/2021;Ecosystem Overviews;Greater North Sea;Greater North Sea Ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/EcosystemOverview_GreaterNorthSea_ 2021.pdf;https://doi.org/10.17895/ices.advice.9434
2020;10/12/2020;Ecosystem overviews;Greenland Sea;Greenland Sea ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/EcosystemOverview_GreenlandSea_2020.pdf;https://doi.org/10.17895/ices.advice.7634
2021;09/12/2021;Ecosystem Overviews;Greenland Sea;Greenland Sea ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/EcosystemOverview_GreenlandSea_2021.pdf;https://doi.org/10.17895/ices.advice.9439
2017;10/04/2017;Ecosystem overviews;Icelandic Waters;Icelandic Waters ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/Ecosystem_overview-Icelandic_Waters_ecoregion.pdf;https://doi.org/10.17895/ices.pub.3107
2018;14/12/2018;Ecosystem overviews;Icelandic Waters;Icelandic Waters ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/IcelandicWatersEcoregion_EcosystemOverview.pdf;https://doi.org/10.17895/ices.pub.4669
2019;12/12/2019;Ecosystem overviews;Icelandic Waters;Icelandic Waters ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/EcosystemOverview_IcelandicWaters_2019.pdf;https://doi.org/10.17895/ices.advice.5746
2020;10/12/2020;Ecosystem overviews;Icelandic Waters;Icelandic Waters ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/EcosystemOverview_IcelandicWaters_2020.pdf;https://doi.org/10.17895/ices.advice.7633
2021;09/12/2021;Ecosystem Overviews;Icelandic Waters;Icelandic Waters ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/EcosystemOverview_IcelandicWaters_2021.pdf;https://doi.org/10.17895/ices.advice.9440
2017;10/04/2017;Ecosystem overviews;Norwegian Sea;Norwegian Sea ecoregion - Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/Ecosystem_overview-Norwegian_Sea.pdf;https://doi.org/10.17895/ices.pub.3108
2018;14/12/2018;Ecosystem overviews;Norwegian Sea;Norwegian Sea ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/NorwegianSea_EcosystemOverview.pdf;https://doi.org/10.17895/ices.pub.4668
2019;12/12/2019;Ecosystem overviews;Norwegian Sea;Norwegian Sea ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/EcosystemOverview_NorwegianSea_2019.pdf;https://doi.org/10.17895/ices.advice.5748
2021;27/05/2021;Ecosystem overviews;Norwegian Sea;Norwegian Sea ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/EcosystemOverview_NorwegianSea_2021.pdf;https://doi.org/10.17895/ices.advice.8188
2019;12/12/2019;Ecosystem overviews;Oceanic Northeast Atlantic;Oceanic Northeast Atlantic ecoregion – Ecosystem overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/EcosystemOverview_OceanicNEAtl_2019.pdf;https://doi.org/10.17895/ices.advice.5754
2020;30/11/2020;Fisheries Overviews;Azores;Azores ecoregion – Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/FisheriesOverview_Azores_2020.pdf;https://doi.org/10.17895/ices.advice.7600
2021;30/11/2021;Fisheries Overviews;Azores;Azores ecoregion – Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/FisheriesOverview_Azores_2021.pdf;https://doi.org/10.17895/ices.advice.9163
2017;04/07/2017;Fisheries Overviews;Baltic Sea;Baltic Sea Ecoregion - Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/Baltic_Sea_Ecoregion_Fisheries_Overview.pdf;https://doi.org/10.17895/ices.pub.3053
2017;20/12/2017;Fisheries Overviews;Baltic Sea;Baltic Sea Ecoregion - Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/BalticSeaEcoregion_FisheriesOverviews_December.pdf;https://doi.org/10.17895/ices.pub.3737
2018;31/05/2018;Fisheries Overviews;Baltic Sea;Baltic Sea Ecoregion - Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/BalticSeaEcoregion_FisheriesOverviews_2018.pdf;https://doi.org/10.17895/ices.pub.4389
2018;30/11/2018;Fisheries Overviews;Baltic Sea;Baltic Sea Ecoregion - Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/BalticSeaEcoregion_FisheriesOverviews_2018_November.pdf;https://doi.org/10.17895/ices.pub.4648
2019;02/09/2019;Fisheries Overviews;Baltic Sea;Baltic Sea Ecoregion - Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/BalticSeaEcoregion_FisheriesOverviews.pdf;https://doi.org/10.17895/ices.advice.5566
2020;30/11/2020;Fisheries Overviews;Baltic Sea;Baltic Sea Ecoregion - Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/FisheriesOverviews_BalticSea_2020.pdf;https://doi.org/10.17895/ices.advice.7607
2021;30/11/2021;Fisheries Overviews;Baltic Sea;Baltic Sea Ecoregion - Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/FisheriesOverviews_BalticSea_2021.pdf;https://doi.org/10.17895/ices.advice.9139
2019;29/11/2019;Fisheries Overviews;Barents Sea;Barents Sea Ecoregion – Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/FisheriesOverview_BarentsSea_2019.pdf;https://doi.org/10.17895/ices.advice.5705
2020;30/11/2020;Fisheries Overviews;Barents Sea;Barents Sea Ecoregion – Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/FisheriesOverviews_BarentsSea_2020.pdf;https://doi.org/10.17895/ices.advice.7601
2021;30/11/2021;Fisheries Overviews;Barents Sea;Barents Sea Ecoregion – Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/FisheriesOverviews_BarentsSea_2021.pdf;https://doi.org/10.17895/ices.advice.9166
2019;29/11/2019;Fisheries Overviews;Bay of Biscay and Iberian Coast ;Bay of Biscay and Iberian Coast ecoregion – Fisheries overview, including  mixed-fisheries considerations;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/FisheriesOverviews_BoBIberian_2019.pdf;https://doi.org/10.17895/ices.advice.5709
2020;30/11/2020;Fisheries Overviews;Bay of Biscay and Iberian Coast ;Bay of Biscay and Iberian Coast ecoregion – Fisheries overview, including  mixed-fisheries considerations;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/FisheriesOverviews_BoBIberian_2020.pdf;https://doi.org/10.17895/ices.advice.7604
2021;30/11/2021;Fisheries Overviews;Bay of Biscay and Iberian Coast ;Bay of Biscay and Iberian Coast ecoregion – Fisheries overview, including  mixed-fisheries considerations;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/FisheriesOverviews_BoBIberian_2021.pdf;https://doi.org/10.17895/ices.advice.9100
2018;29/11/2018;Fisheries Overviews;Celtic Seas;Celtic Seas ecoregion – Fisheries overview, including mixed-fisheries considerations;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/CelticSeasEcoregion_FisheriesOverviews.pdf;https://doi.org/10.17895/ices.pub.4640
2019;29/11/2019;Fisheries Overviews;Celtic Seas;Celtic Seas ecoregion – Fisheries overview, including mixed-fisheries considerations;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/FisheriesOverviews_CelticSeas_2019.pdf;https://doi.org/10.17895/ices.advice.5708
2020;30/11/2020;Fisheries Overviews;Celtic Seas;Celtic Seas ecoregion – Fisheries overview, including mixed-fisheries considerations;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/FisheriesOverviews_CelticSeas_2020.pdf;https://doi.org/10.17895/ices.advice.7606
2021;30/11/2021;Fisheries Overviews;Celtic Seas;Celtic Seas ecoregion – Fisheries overview, including mixed-fisheries considerations;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/FisheriesOverviews_CelticSeas_2021.pdf;https://doi.org/10.17895/ices.advice.9098
2021;30/11/2021;Fisheries Overviews;Faroes;Faroes ecoregion – Fisheries overview;https://www.ices.dk/sites/pub/Publication%20Reports/Advice/2021/2021/FisheriesOverview_Faroes_2021.pdf;https://doi.org/10.17895/ices.advice.9168
2017;04/07/2017;Fisheries Overviews;Greater North Sea;Greater North Sea Ecoregion - Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/Greater_North_Sea_Ecoregion_Fisheries_Overview.pdf;https://doi.org/10.17895/ices.pub.3116
2017;20/12/2017;Fisheries Overviews;Greater North Sea;Greater North Sea Ecoregion - Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/GreaterNorthSeaEcoregion_FisheriesOverviews_December.pdf;https://doi.org/10.17895/ices.pub.3721
2018;30/11/2018;Fisheries Overviews;Greater North Sea;Greater North Sea Ecoregion - Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/GreaterNorthSeaEcoregion_FisheriesOverview.pdf;https://doi.org/10.17895/ices.pub.4647
2019;29/11/2019;Fisheries Overviews;Greater North Sea;Greater North Sea Ecoregion – Fisheries overview, including mixed-fisheries considerations;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/FisheriesOverview_GreaterNorthSea_2019.pdf;https://doi.org/10.17895/ices.advice.5710
2020;30/11/2020;Fisheries Overviews;Greater North Sea;Greater North Sea ecoregion – Fisheries overview, including mixed-fisheries considerations;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/FisheriesOverview_GreaterNorthSea_2020.pdf;https://doi.org/10.17895/ices.advice.7605
2021;30/11/2021;Fisheries Overviews;Greater North Sea;Greater North Sea ecoregion – Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/FisheriesOverview_GreaterNorthSea_2021.pdf;https://doi.org/10.17895/ices.advice.9099
2020;30/11/2020;Fisheries Overviews;Greenland Sea;Greenland Sea ecoregion – Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/FisheriesOverview_GreenlandSea_2020.pdf;https://doi.org/10.17895/ices.advice.7599
2021;30/11/2021;Fisheries Overviews;Greenland Sea;Greenland Sea ecoregion – Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/FisheriesOverview_GreenlandSea_2021.pdf;https://doi.org/10.17895/ices.advice.9164
2019;29/11/2019;Fisheries Overviews;Icelandic Waters;Icelandic Waters ecoregion – Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/FisheriesOverview_IcelandicWaters_2019.pdf;https://doi.org/10.17895/ices.advice.5706
2020;30/11/2020;Fisheries Overviews;Icelandic Waters;Icelandic Waters ecoregion – Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/FisheriesOverview_IcelandicWaters_2020.pdf;https://doi.org/10.17895/ices.advice.7602
2021;30/11/2021;Fisheries Overviews;Icelandic Waters;Icelandic Waters ecoregion – Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/FisheriesOverview_IcelandicWaters_2021.pdf;https://doi.org/10.17895/ices.advice.9167
2019;29/11/2019;Fisheries Overviews;Norwegian Sea;Norwegian Sea ecoregion – Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/FisheriesOverviews_Norwegian Sea_2019.pdf;https://doi.org/10.17895/ices.advice.5707
2020;30/11/2020;Fisheries Overviews;Norwegian Sea;Norwegian Sea ecoregion – Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/FisheriesOverviews_NorwegianSea_2020.pdf;https://doi.org/10.17895/ices.advice.7603
2021;30/11/2021;Fisheries Overviews;Norwegian Sea;Norwegian Sea ecoregion – Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/FisheriesOverviews_NorwegianSea_2021.pdf;https://doi.org/10.17895/ices.advice.9150
2020;18/12/2020;Fisheries Overviews;Oceanic Northeast Atlantic;Oceanic Northeast Atlantic ecoregion – Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/FisheriesOverviews_ONAE_2020.pdf;https://doi.org/10.17895/ices.advice.7649
2021;30/11/2021;Fisheries Overviews;Oceanic Northeast Atlantic;Oceanic Northeast Atlantic ecoregion – Fisheries overview;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/FisheriesOverviews_ONA_2021.pdf;https://doi.org/10.17895/ices.advice.9138
