AssessmentKey,AssessmentComponent,Purpose,Year,StockDescription,ICES_Areas,SpeciesName,Report,Low_Recruitment,Recruitment,High_Recruitment,UnitOfRecruitment,RecruitmentDescription,Low_TBiomass,TBiomass,High_TBiomass,Low_StockSize,StockSize,High_StockSize,StockSizeDescription,StockSizeUnits,CatchesLandingsUnits,Landings,Low_FishingPressure,FishingPressure,High_FishingPressure,FishingPressureDescription,Flim,Published,StockKeyLabel,StockDatabaseID,StockKey,AssessmentYear,FLim,Fpa,Bpa,Blim,FMSY,MSYBtrigger,RecruitmentAge,FAge,CustomRefPointName1,CustomRefPointName2,CustomRefPointName3,CustomRefPointName4,CustomRefPointName5,ConfidenceIntervalDefinition
18719,Northwestern Substock,Advice,1983,Cod (Gadus morhua) in Subarea 4. in divisions 6.a and 7.d. and in Subdivision 20 (North Sea. West of Scotland. eastern English Channel. Skagerrak),27.3.a.20 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6.a ~ 27.7.d,Gadus morhua,https://doi.org/10.17895/ices.advice.27441678.v2,331866,495298, 739213,thousands,Recruitment,159001,218330,299795,41162,57510,80349,SSB,tonnes,tonnes,126299,0.722,0.821,0.935,F,0.666,True,cod.27.46a7d20,3763,255566,2024,0.666,0.543,40823,29378,0.196,40823,1,2-4,custom1,custom2,custom3,custom4,custom5,95%
18719,Northwestern Substock,Advice,1984,Cod (Gadus morhua) in Subarea 4. in divisions 6.a and 7.d. and in Subdivision 20 (North Sea. West of Scotland. eastern English Channel. Skagerrak),27.3.a.20 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6.a ~ 27.7.d,Gadus morhua,https://doi.org/10.17895/ices.advice.27441678.v2,440324,731798,1216212,thousands,Recruitment,162594,215152,284699,38441,53508,74480,SSB,tonnes,tonnes,151625,0.800,0.955,1.141,F,0.666,True,cod.27.46a7d20,3763,255566,2024,0.666,0.543,40823,29378,0.196,40823,1,2-4,custom1,custom2,custom3,custom4,custom5,95%
18719,Northwestern Substock,Advice,1985,Cod (Gadus morhua) in Subarea 4. in divisions 6.a and 7.d. and in Subdivision 20 (North Sea. West of Scotland. eastern English Channel. Skagerrak),27.3.a.20 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6.a ~ 27.7.d,Gadus morhua,https://doi.org/10.17895/ices.advice.27441678.v2,135755,218380, 351294,thousands,Recruitment,154476,198257,254447,38752,52365,70758,SSB,tonnes,tonnes,139363,0.805,0.949,1.119,F,0.666,True,cod.27.46a7d20,3763,255566,2024,0.666,0.543,40823,29378,0.196,40823,1,2-4,custom1,custom2,custom3,custom4,custom5,95%
18719,Northwestern Substock,Advice,1986,Cod (Gadus morhua) in Subarea 4. in divisions 6.a and 7.d. and in Subdivision 20 (North Sea. West of Scotland. eastern English Channel. Skagerrak),27.3.a.20 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6.a ~ 27.7.d,Gadus morhua,https://doi.org/10.17895/ices.advice.27441678.v2,399239,640603,1027886,thousands,Recruitment,135212,172357,219706,27154,36064,47896,SSB,tonnes,tonnes,112167,0.844,0.993,1.168,F,0.666,True,cod.27.46a7d20,3763,255566,2024,0.666,0.543,40823,29378,0.196,40823,1,2-4,custom1,custom2,custom3,custom4,custom5,95%
18719,Northwestern Substock,Advice,1987,Cod (Gadus morhua) in Subarea 4. in divisions 6.a and 7.d. and in Subdivision 20 (North Sea. West of Scotland. eastern English Channel. Skagerrak),27.3.a.20 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6.a ~ 27.7.d,Gadus morhua,https://doi.org/10.17895/ices.advice.27441678.v2,239276,375906, 590555,thousands,Recruitment,141810,181193,231514,36655,48798,64964,SSB,tonnes,tonnes,124772,0.802,0.944,1.112,F,0.666,True,cod.27.46a7d20,3763,255566,2024,0.666,0.543,40823,29378,0.196,40823,1,2-4,custom1,custom2,custom3,custom4,custom5,95%
18719,Northwestern Substock,Advice,1988,Cod (Gadus morhua) in Subarea 4. in divisions 6.a and 7.d. and in Subdivision 20 (North Sea. West of Scotland. eastern English Channel. Skagerrak),27.3.a.20 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6.a ~ 27.7.d,Gadus morhua,https://doi.org/10.17895/ices.advice.27441678.v2, 91821,144239, 226581,thousands,Recruitment,120617,154907,198945,28684,37661,49446,SSB,tonnes,tonnes, 94108,0.751,0.888,1.051,F,0.666,True,cod.27.46a7d20,3763,255566,2024,0.666,0.543,40823,29378,0.196,40823,1,2-4,custom1,custom2,custom3,custom4,custom5,95%
18719,Northwestern Substock,Advice,1989,Cod (Gadus morhua) in Subarea 4. in divisions 6.a and 7.d. and in Subdivision 20 (North Sea. West of Scotland. eastern English Channel. Skagerrak),27.3.a.20 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6.a ~ 27.7.d,Gadus morhua,https://doi.org/10.17895/ices.advice.27441678.v2,335455,522792, 814748,thousands,Recruitment,113575,144481,183797,47804,61405,78876,SSB,tonnes,tonnes, 94126,0.816,0.962,1.135,F,0.666,True,cod.27.46a7d20,3763,255566,2024,0.666,0.543,40823,29378,0.196,40823,1,2-4,custom1,custom2,custom3,custom4,custom5,95%
18719,Northwestern Substock,Advice,1990,Cod (Gadus morhua) in Subarea 4. in divisions 6.a and 7.d. and in Subdivision 20 (North Sea. West of Scotland. eastern English Channel. Skagerrak),27.3.a.20 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6.a ~ 27.7.d,Gadus morhua,https://doi.org/10.17895/ices.advice.27441678.v2,101243,158532, 248239,thousands,Recruitment,106300,136385,174985,33733,44330,58255,SSB,tonnes,tonnes, 89714,0.870,1.027,1.211,F,0.666,True,cod.27.46a7d20,3763,255566,2024,0.666,0.543,40823,29378,0.196,40823,1,2-4,custom1,custom2,custom3,custom4,custom5,95%
18719,Northwestern Substock,Advice,1991,Cod (Gadus morhua) in Subarea 4. in divisions 6.a and 7.d. and in Subdivision 20 (North Sea. West of Scotland. eastern English Channel. Skagerrak),27.3.a.20 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6.a ~ 27.7.d,Gadus morhua,https://doi.org/10.17895/ices.advice.27441678.v2,144648,224142, 347324,thousands,Recruitment, 84232,106860,135568,33017,43392,57026,SSB,tonnes,tonnes, 67872,0.856,1.005,1.180,F,0.666,True,cod.27.46a7d20,3763,255566,2024,0.666,0.543,40823,29378,0.196,40823,1,2-4,custom1,custom2,custom3,custom4,custom5,95%
18719,Northwestern Substock,Advice,1992,Cod (Gadus morhua) in Subarea 4. in divisions 6.a and 7.d. and in Subdivision 20 (North Sea. West of Scotland. eastern English Channel. Skagerrak),27.3.a.20 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6.a ~ 27.7.d,Gadus morhua,https://doi.org/10.17895/ices.advice.27441678.v2,362555,545175, 819783,thousands,Recruitment, 93835,119360,151828,43839,56638,73175,SSB,tonnes,tonnes, 82717,0.800,0.937,1.097,F,0.666,True,cod.27.46a7d20,3763,255566,2024,0.666,0.543,40823,29378,0.196,40823,1,2-4,custom1,custom2,custom3,custom4,custom5,95%
18719,Northwestern Substock,Advice,1993,Cod (Gadus morhua) in Subarea 4. in divisions 6.a and 7.d. and in Subdivision 20 (North Sea. West of Scotland. eastern English Channel. Skagerrak),27.3.a.20 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6.a ~ 27.7.d,Gadus morhua,https://doi.org/10.17895/ices.advice.27441678.v2,174113,256660, 378342,thousands,Recruitment,105906,135522,173419,42590,55045,71143,SSB,tonnes,tonnes, 96416,0.795,0.938,1.107,F,0.666,True,cod.27.46a7d20,3763,255566,2024,0.666,0.543,40823,29378,0.196,40823,1,2-4,custom1,custom2,custom3,custom4,custom5,95%
18719,Northwestern Substock,Advice,1994,Cod (Gadus morhua) in Subarea 4. in divisions 6.a and 7.d. and in Subdivision 20 (North Sea. West of Scotland. eastern English Channel. Skagerrak),27.3.a.20 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6.a ~ 27.7.d,Gadus morhua,https://doi.org/10.17895/ices.advice.27441678.v2,342855,541219, 854348,thousands,Recruitment, 99005,125785,159809,51738,67004,86775,SSB,tonnes,tonnes, 90923,0.813,0.952,1.116,F,0.666,True,cod.27.46a7d20,3763,255566,2024,0.666,0.543,40823,29378,0.196,40823,1,2-4,custom1,custom2,custom3,custom4,custom5,95%
18719,Northwestern Substock,Advice,1995,Cod (Gadus morhua) in Subarea 4. in divisions 6.a and 7.d. and in Subdivision 20 (North Sea. West of Scotland. eastern English Channel. Skagerrak),27.3.a.20 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6.a ~ 27.7.d,Gadus morhua,https://doi.org/10.17895/ices.advice.27441678.v2,212139,323505, 493333,thousands,Recruitment,103675,131917,167852,38600,50488,66038,SSB,tonnes,tonnes,112458,0.895,1.048,1.226,F,0.666,True,cod.27.46a7d20,3763,255566,2024,0.666,0.543,40823,29378,0.196,40823,1,2-4,custom1,custom2,custom3,custom4,custom5,95%
18719,Northwestern Substock,Advice,1996,Cod (Gadus morhua) in Subarea 4. in divisions 6.a and 7.d. and in Subdivision 20 (North Sea. West of Scotland. eastern English Channel. Skagerrak),27.3.a.20 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6.a ~ 27.7.d,Gadus morhua,https://doi.org/10.17895/ices.advice.27441678.v2,104493,160403, 246226,thousands,Recruitment, 94096,119705,152285,44936,57778,74291,SSB,tonnes,tonnes, 87884,0.932,1.092,1.279,F,0.666,True,cod.27.46a7d20,3763,255566,2024,0.666,0.543,40823,29378,0.196,40823,1,2-4,custom1,custom2,custom3,custom4,custom5,95%
18719,Northwestern Substock,Advice,1997,Cod (Gadus morhua) in Subarea 4. in divisions 6.a and 7.d. and in Subdivision 20 (North Sea. West of Scotland. eastern English Channel. Skagerrak),27.3.a.20 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6.a ~ 27.7.d,Gadus morhua,https://doi.org/10.17895/ices.advice.27441678.v2,394959,604981, 926684,thousands,Recruitment, 74991, 95298,121104,43484,56845,74310,SSB,tonnes,tonnes, 76347,0.863,1.012,1.186,F,0.666,True,cod.27.46a7d20,3763,255566,2024,0.666,0.543,40823,29378,0.196,40823,1,2-4,custom1,custom2,custom3,custom4,custom5,95%
18719,Northwestern Substock,Advice,1998,Cod (Gadus morhua) in Subarea 4. in divisions 6.a and 7.d. and in Subdivision 20 (North Sea. West of Scotland. eastern English Channel. Skagerrak),27.3.a.20 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6.a ~ 27.7.d,Gadus morhua,https://doi.org/10.17895/ices.advice.27441678.v2, 45207, 68241, 103012,thousands,Recruitment, 74929, 96201,123511,32697,42380,54931,SSB,tonnes,tonnes, 68728,0.950,1.101,1.277,F,0.666,True,cod.27.46a7d20,3763,255566,2024,0.666,0.543,40823,29378,0.196,40823,1,2-4,custom1,custom2,custom3,custom4,custom5,95%
18719,Northwestern Substock,Advice,1999,Cod (Gadus morhua) in Subarea 4. in divisions 6.a and 7.d. and in Subdivision 20 (North Sea. West of Scotland. eastern English Channel. Skagerrak),27.3.a.20 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6.a ~ 27.7.d,Gadus morhua,https://doi.org/10.17895/ices.advice.27441678.v2, 62091, 97186, 152118,thousands,Recruitment, 45393, 57369, 72506,26335,33739,43224,SSB,tonnes,tonnes, 40077,0.971,1.124,1.300,F,0.666,True,cod.27.46a7d20,3763,255566,2024,0.666,0.543,40823,29378,0.196,40823,1,2-4,custom1,custom2,custom3,custom4,custom5,95%
18719,Northwestern Substock,Advice,2000,Cod (Gadus morhua) in Subarea 4. in divisions 6.a and 7.d. and in Subdivision 20 (North Sea. West of Scotland. eastern English Channel. Skagerrak),27.3.a.20 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6.a ~ 27.7.d,Gadus morhua,https://doi.org/10.17895/ices.advice.27441678.v2,135222,204024, 307833,thousands,Recruitment, 43625, 55529, 70681,22060,28241,36154,SSB,tonnes,tonnes, 34051,0.932,1.082,1.255,F,0.666,True,cod.27.46a7d20,3763,255566,2024,0.666,0.543,40823,29378,0.196,40823,1,2-4,custom1,custom2,custom3,custom4,custom5,95%
18719,Northwestern Substock,Advice,2001,Cod (Gadus morhua) in Subarea 4. in divisions 6.a and 7.d. and in Subdivision 20 (North Sea. West of Scotland. eastern English Channel. Skagerrak),27.3.a.20 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6.a ~ 27.7.d,Gadus morhua,https://doi.org/10.17895/ices.advice.27441678.v2, 43309, 66796, 103020,thousands,Recruitment, 41136, 52857, 67916,18021,23024,29416,SSB,tonnes,tonnes, 28596,0.800,0.931,1.085,F,0.666,True,cod.27.46a7d20,3763,255566,2024,0.666,0.543,40823,29378,0.196,40823,1,2-4,custom1,custom2,custom3,custom4,custom5,95%
18719,Northwestern Substock,Advice,2002,Cod (Gadus morhua) in Subarea 4. in divisions 6.a and 7.d. and in Subdivision 20 (North Sea. West of Scotland. eastern English Channel. Skagerrak),27.3.a.20 ~ 27.4.a ~ 27.4.b ~ 27.4.c ~ 27.6.a ~ 27.7.d,Gadus morhua,https://doi.org/10.17895/ices.advice.27441678.v2, 61416, 96924, 152962,thousands,Recruitment, 36714, 46805, 59670,20025,25943,33609,SSB,tonnes,tonnes, 23820,0.774,0.907,1.064,F,0.666,True,cod.27.46a7d20,3763,255566,2024,0.666,0.543,40823,29378,0.196,40823,1,2-4,custom1,custom2,custom3,custom4,custom5,95%
